cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
4,4,1,lru,1,26971,488712,488711,0.0523015,515683
8,4,1,lru,2,29090,486593,486591,0.0564106,515683
8,4,2,lru,2,55488,460195,460193,0.107601,515683
8,8,1,lru,1,40376,475307,475306,0.0782962,515683
16,4,1,lru,4,28549,487134,487130,0.0553615,515683
16,4,2,lru,4,55936,459747,459743,0.10847,515683
16,4,4,lru,4,77505,438178,438174,0.150296,515683
16,8,1,lru,2,35027,480656,480654,0.0679235,515683
16,8,2,lru,2,70328,445355,445353,0.136378,515683
16,16,1,lru,1,134248,381435,381434,0.26033,515683
32,4,1,lru,8,28549,487134,487130,0.0553615,515683
32,4,2,lru,8,55331,460352,460344,0.107297,515683
32,4,4,lru,8,78172,437511,437503,0.151589,515683
32,4,8,lru,8,126150,389533,389525,0.244627,515683
32,8,1,lru,4,36092,479591,479587,0.0699887,515683
32,8,2,lru,4,67436,448247,448243,0.13077,515683
32,8,4,lru,4,93745,421938,421934,0.181788,515683
32,16,1,lru,2,65861,449822,449820,0.127716,515683
32,16,2,lru,2,177734,337949,337947,0.344657,515683
32,32,1,lru,1,201094,314589,314588,0.389957,515683
64,4,1,lru,16,28549,487134,487130,0.0553615,515683
64,4,2,lru,16,55331,460352,460344,0.107297,515683
64,4,4,lru,16,77765,437918,437902,0.1508,515683
64,4,8,lru,16,127368,388315,388299,0.246989,515683
64,4,16,lru,16,230727,284956,284940,0.44742,515683
64,8,1,lru,8,35206,480477,480469,0.0682706,515683
64,8,2,lru,8,67623,448060,448052,0.131133,515683
64,8,4,lru,8,93377,422306,422298,0.181074,515683
64,8,8,lru,8,144485,371198,371190,0.280182,515683
64,16,1,lru,4,61752,453931,453927,0.119748,515683
64,16,2,lru,4,96159,419524,419520,0.186469,515683
64,16,4,lru,4,221765,293918,293914,0.430041,515683
64,32,1,lru,2,169317,346366,346364,0.328335,515683
64,32,2,lru,2,256683,259000,258998,0.497753,515683
64,64,1,lru,1,253640,262043,262042,0.491853,515683
128,4,1,lru,32,28549,487134,487130,0.0553615,515683
128,4,2,lru,32,55331,460352,460344,0.107297,515683
128,4,4,lru,32,77765,437918,437902,0.1508,515683
128,4,8,lru,32,127244,388439,388407,0.246748,515683
128,4,16,lru,32,231724,283959,283927,0.449354,515683
128,4,32,lru,32,384321,131362,131330,0.745266,515683
128,8,1,lru,16,35206,480477,480469,0.0682706,515683
128,8,2,lru,16,66519,449164,449148,0.128992,515683
128,8,4,lru,16,93354,422329,422313,0.18103,515683
128,8,8,lru,16,143641,372042,372026,0.278545,515683
128,8,16,lru,16,247583,268100,268084,0.480107,515683
128,16,1,lru,8,62579,453104,453096,0.121352,515683
128,16,2,lru,8,95091,420592,420584,0.184398,515683
128,16,4,lru,8,146031,369652,369644,0.28318,515683
128,16,8,lru,8,291614,224069,224061,0.565491,515683
128,32,1,lru,4,95967,419716,419712,0.186097,515683
128,32,2,lru,4,225267,290416,290412,0.436832,515683
128,32,4,lru,4,305050,210633,210629,0.591546,515683
128,64,1,lru,2,247652,268031,268029,0.480241,515683
128,64,2,lru,2,313952,201731,201729,0.608808,515683
128,128,1,lru,1,284790,230893,230892,0.552258,515683
256,4,1,lru,64,28549,487134,487130,0.0553615,515683
256,4,2,lru,64,55331,460352,460344,0.107297,515683
256,4,4,lru,64,77765,437918,437902,0.1508,515683
256,4,8,lru,64,127244,388439,388407,0.246748,515683
256,4,16,lru,64,230703,284980,284916,0.447374,515683
256,4,32,lru,64,384322,131361,131297,0.745268,515683
256,4,64,lru,64,437459,78224,78160,0.84831,515683
256,8,1,lru,32,35206,480477,480469,0.0682706,515683
256,8,2,lru,32,66519,449164,449148,0.128992,515683
256,8,4,lru,32,92341,423342,423310,0.179065,515683
256,8,8,lru,32,143726,371957,371925,0.27871,515683
256,8,16,lru,32,247370,268313,268281,0.479694,515683
256,8,32,lru,32,404533,111150,111118,0.784461,515683
256,16,1,lru,16,61817,453866,453850,0.119874,515683
256,16,2,lru,16,95149,420534,420518,0.184511,515683
256,16,4,lru,16,145281,370402,370386,0.281725,515683
256,16,8,lru,16,247807,267876,267860,0.480541,515683
256,16,16,lru,16,395791,119892,119876,0.767508,515683
256,32,1,lru,8,93451,422232,422224,0.181218,515683
256,32,2,lru,8,155925,359758,359750,0.302366,515683
256,32,4,lru,8,294942,220741,220733,0.571944,515683
256,32,8,lru,8,386219,129464,129456,0.748947,515683
256,64,1,lru,4,219159,296524,296520,0.424988,515683
256,64,2,lru,4,309815,205868,205864,0.600786,515683
256,64,4,lru,4,371167,144516,144512,0.719758,515683
256,128,1,lru,2,309461,206222,206220,0.600099,515683
256,128,2,lru,2,342168,173515,173513,0.663524,515683
256,256,1,lru,1,304584,211099,211098,0.590642,515683
512,4,1,lru,128,28549,487134,487130,0.0553615,515683
512,4,2,lru,128,55331,460352,460344,0.107297,515683
512,4,4,lru,128,77765,437918,437902,0.1508,515683
512,4,8,lru,128,127244,388439,388407,0.246748,515683
512,4,16,lru,128,230703,284980,284916,0.447374,515683
512,4,32,lru,128,382822,132861,132733,0.742359,515683
512,4,64,lru,128,437009,78674,78546,0.847437,515683
512,4,128,lru,128,462284,53399,53271,0.89645,515683
512,8,1,lru,64,35206,480477,480469,0.0682706,515683
512,8,2,lru,64,66519,449164,449148,0.128992,515683
512,8,4,lru,64,92341,423342,423310,0.179065,515683
512,8,8,lru,64,142313,373370,373306,0.27597,515683
512,8,16,lru,64,247568,268115,268051,0.480078,515683
512,8,32,lru,64,398354,117329,117265,0.772478,515683
512,8,64,lru,64,453541,62142,62078,0.879496,515683
512,16,1,lru,32,61817,453866,453850,0.119874,515683
512,16,2,lru,32,94130,421553,421521,0.182535,515683
512,16,4,lru,32,145393,370290,370258,0.281943,515683
512,16,8,lru,32,247005,268678,268646,0.478986,515683
512,16,16,lru,32,399987,115696,115664,0.775645,515683
512,16,32,lru,32,462276,53407,53375,0.896434,515683
512,32,1,lru,16,93813,421870,421854,0.18192,515683
512,32,2,lru,16,155558,360125,360109,0.301654,515683
512,32,4,lru,16,262445,253238,253222,0.508927,515683
512,32,8,lru,16,396890,118793,118777,0.769639,515683
512,32,16,lru,16,457551,58132,58116,0.887272,515683
512,64,1,lru,8,156984,358699,358691,0.30442,515683
512,64,2,lru,8,292941,222742,222734,0.568064,515683
512,64,4,lru,8,387781,127902,127894,0.751976,515683
512,64,8,lru,8,438639,77044,77036,0.850598,515683
512,128,1,lru,4,312724,202959,202955,0.606427,515683
512,128,2,lru,4,371298,144385,144381,0.720012,515683
512,128,4,lru,4,399092,116591,116587,0.77391,515683
512,256,1,lru,2,333911,181772,181770,0.647512,515683
512,256,2,lru,2,364582,151101,151099,0.706989,515683
512,512,1,lru,1,310774,204909,204908,0.602645,515683
1024,4,1,lru,256,28549,487134,487130,0.0553615,515683
1024,4,2,lru,256,55331,460352,460344,0.107297,515683
1024,4,4,lru,256,77765,437918,437902,0.1508,515683
1024,4,8,lru,256,127244,388439,388407,0.246748,515683
1024,4,16,lru,256,230703,284980,284916,0.447374,515683
1024,4,32,lru,256,382822,132861,132733,0.742359,515683
1024,4,64,lru,256,435220,80463,80207,0.843968,515683
1024,4,128,lru,256,461528,54155,53899,0.894984,515683
1024,4,256,lru,256,474908,40775,40519,0.92093,515683
1024,8,1,lru,128,35206,480477,480469,0.0682706,515683
1024,8,2,lru,128,66519,449164,449148,0.128992,515683
1024,8,4,lru,128,92341,423342,423310,0.179065,515683
1024,8,8,lru,128,142313,373370,373306,0.27597,515683
1024,8,16,lru,128,246202,269481,269353,0.477429,515683
1024,8,32,lru,128,397850,117833,117705,0.771501,515683
1024,8,64,lru,128,445589,70094,69966,0.864075,515683
1024,8,128,lru,128,477379,38304,38176,0.925722,515683
1024,16,1,lru,64,61817,453866,453850,0.119874,515683
1024,16,2,lru,64,94130,421553,421521,0.182535,515683
1024,16,4,lru,64,144303,371380,371316,0.279829,515683
1024,16,8,lru,64,247616,268067,268003,0.480171,515683
1024,16,16,lru,64,398387,117296,117232,0.772542,515683
1024,16,32,lru,64,452732,62951,62887,0.877927,515683
1024,16,64,lru,64,484090,31593,31529,0.938736,515683
1024,32,1,lru,32,92775,422908,422876,0.179907,515683
1024,32,2,lru,32,155710,359973,359941,0.301949,515683
1024,32,4,lru,32,262543,253140,253108,0.509117,515683
1024,32,8,lru,32,388579,127104,127072,0.753523,515683
1024,32,16,lru,32,458129,57554,57522,0.888393,515683
1024,32,32,lru,32,484165,31518,31486,0.938881,515683
1024,64,1,lru,16,156418,359265,359249,0.303322,515683
1024,64,2,lru,16,272530,243153,243137,0.528484,515683
1024,64,4,lru,16,384847,130836,130820,0.746286,515683
1024,64,8,lru,16,454307,61376,61360,0.880981,515683
1024,64,16,lru,16,477538,38145,38129,0.92603,515683
1024,128,1,lru,8,296358,219325,219317,0.57469,515683
1024,128,2,lru,8,378957,136726,136718,0.734864,515683
1024,128,4,lru,8,436050,79633,79625,0.845578,515683
1024,128,8,lru,8,460057,55626,55618,0.892131,515683
1024,256,1,lru,4,364442,151241,151237,0.706717,515683
1024,256,2,lru,4,397473,118210,118206,0.77077,515683
1024,256,4,lru,4,419045,96638,96634,0.812602,515683
1024,512,1,lru,2,350628,165055,165053,0.679929,515683
1024,512,2,lru,2,370794,144889,144887,0.719035,515683
1024,1024,1,lru,1,322499,193184,193183,0.625382,515683
2048,4,1,lru,512,28549,487134,487130,0.0553615,515683
2048,4,2,lru,512,55331,460352,460344,0.107297,515683
2048,4,4,lru,512,77765,437918,437902,0.1508,515683
2048,4,8,lru,512,127244,388439,388407,0.246748,515683
2048,4,16,lru,512,230703,284980,284916,0.447374,515683
2048,4,32,lru,512,382822,132861,132733,0.742359,515683
2048,4,64,lru,512,435220,80463,80207,0.843968,515683
2048,4,128,lru,512,459598,56085,55573,0.891241,515683
2048,4,256,lru,512,473932,41751,41239,0.919037,515683
2048,8,1,lru,256,35206,480477,480469,0.0682706,515683
2048,8,2,lru,256,66519,449164,449148,0.128992,515683
2048,8,4,lru,256,92341,423342,423310,0.179065,515683
2048,8,8,lru,256,142313,373370,373306,0.27597,515683
2048,8,16,lru,256,246202,269481,269353,0.477429,515683
2048,8,32,lru,256,396117,119566,119310,0.76814,515683
2048,8,64,lru,256,444820,70863,70607,0.862584,515683
2048,8,128,lru,256,467828,47855,47599,0.907201,515683
2048,8,256,lru,256,487674,28009,27753,0.945686,515683
2048,16,1,lru,128,61817,453866,453850,0.119874,515683
2048,16,2,lru,128,94130,421553,421521,0.182535,515683
2048,16,4,lru,128,144303,371380,371316,0.279829,515683
2048,16,8,lru,128,246429,269254,269126,0.477869,515683
2048,16,16,lru,128,398074,117609,117481,0.771935,515683
2048,16,32,lru,128,445176,70507,70379,0.863275,515683
2048,16,64,lru,128,477264,38419,38291,0.925499,515683
2048,16,128,lru,128,497350,18333,18205,0.964449,515683
2048,32,1,lru,64,92775,422908,422876,0.179907,515683
2048,32,2,lru,64,154577,361106,361042,0.299752,515683
2048,32,4,lru,64,262654,253029,252965,0.509332,515683
2048,32,8,lru,64,390049,125634,125570,0.756374,515683
2048,32,16,lru,64,452481,63202,63138,0.87744,515683
2048,32,32,lru,64,483723,31960,31896,0.938024,515683
2048,32,64,lru,64,499274,16409,16345,0.96818,515683
2048,64,1,lru,32,156548,359135,359103,0.303574,515683
2048,64,2,lru,32,272818,242865,242833,0.529042,515683
2048,64,4,lru,32,383215,132468,132436,0.743121,515683
2048,64,8,lru,32,458290,57393,57361,0.888705,515683
2048,64,16,lru,32,484086,31597,31565,0.938728,515683
2048,64,32,lru,32,496463,19220,19188,0.962729,515683
2048,128,1,lru,16,263526,252157,252141,0.511023,515683
2048,128,2,lru,16,380700,134983,134967,0.738244,515683
2048,128,4,lru,16,451304,64379,64363,0.875158,515683
2048,128,8,lru,16,477126,38557,38541,0.925231,515683
2048,128,16,lru,16,491940,23743,23727,0.953958,515683
2048,256,1,lru,8,374985,140698,140690,0.727162,515683
2048,256,2,lru,8,427303,88380,88372,0.828616,515683
2048,256,4,lru,8,456549,59134,59126,0.885329,515683
2048,256,8,lru,8,474194,41489,41481,0.919546,515683
2048,512,1,lru,4,374532,141151,141147,0.726283,515683
2048,512,2,lru,4,412262,103421,103417,0.799448,515683
2048,512,4,lru,4,427220,88463,88459,0.828455,515683
2048,1024,1,lru,2,354292,161391,161389,0.687034,515683
2048,1024,2,lru,2,385436,130247,130245,0.747428,515683
2048,2048,1,lru,1,323968,191715,191714,0.628231,515683
4096,4,1,lru,1024,28549,487134,487130,0.0553615,515683
4096,4,2,lru,1024,55331,460352,460344,0.107297,515683
4096,4,4,lru,1024,77765,437918,437902,0.1508,515683
4096,4,8,lru,1024,127244,388439,388407,0.246748,515683
4096,4,16,lru,1024,230703,284980,284916,0.447374,515683
4096,4,32,lru,1024,382822,132861,132733,0.742359,515683
4096,4,64,lru,1024,435220,80463,80207,0.843968,515683
4096,4,128,lru,1024,459598,56085,55573,0.891241,515683
4096,4,256,lru,1024,471842,43841,42817,0.914985,515683
4096,8,1,lru,512,35206,480477,480469,0.0682706,515683
4096,8,2,lru,512,66519,449164,449148,0.128992,515683
4096,8,4,lru,512,92341,423342,423310,0.179065,515683
4096,8,8,lru,512,142313,373370,373306,0.27597,515683
4096,8,16,lru,512,246202,269481,269353,0.477429,515683
4096,8,32,lru,512,396117,119566,119310,0.76814,515683
4096,8,64,lru,512,443034,72649,72137,0.859121,515683
4096,8,128,lru,512,466841,48842,48330,0.905287,515683
4096,8,256,lru,512,476993,38690,38178,0.924973,515683
4096,16,1,lru,256,61817,453866,453850,0.119874,515683
4096,16,2,lru,256,94130,421553,421521,0.182535,515683
4096,16,4,lru,256,144303,371380,371316,0.279829,515683
4096,16,8,lru,256,246429,269254,269126,0.477869,515683
4096,16,16,lru,256,396391,119292,119036,0.768672,515683
4096,16,32,lru,256,444364,71319,71063,0.8617,515683
4096,16,64,lru,256,467887,47796,47540,0.907315,515683
4096,16,128,lru,256,487605,28078,27822,0.945552,515683
4096,16,256,lru,256,500776,14907,14651,0.971093,515683
4096,32,1,lru,128,92775,422908,422876,0.179907,515683
4096,32,2,lru,128,154577,361106,361042,0.299752,515683
4096,32,4,lru,128,261503,254180,254052,0.5071,515683
4096,32,8,lru,128,389776,125907,125779,0.755844,515683
4096,32,16,lru,128,444658,71025,70897,0.86227,515683
4096,32,32,lru,128,476709,38974,38846,0.924423,515683
4096,32,64,lru,128,497282,18401,18273,0.964317,515683
4096,32,128,lru,128,506254,9429,9301,0.981716,515683
4096,64,1,lru,64,155275,360408,360344,0.301106,515683
4096,64,2,lru,64,272894,242789,242725,0.529189,515683
4096,64,4,lru,64,390287,125396,125332,0.756835,515683
4096,64,8,lru,64,451913,63770,63706,0.876339,515683
4096,64,16,lru,64,483630,32053,31989,0.937844,515683
4096,64,32,lru,64,499212,16471,16407,0.96806,515683
4096,64,64,lru,64,507131,8552,8488,0.983416,515683
4096,128,1,lru,32,265443,250240,250208,0.514741,515683
4096,128,2,lru,32,379668,136015,135983,0.736243,515683
4096,128,4,lru,32,453610,62073,62041,0.87963,515683
4096,128,8,lru,32,483352,32331,32299,0.937304,515683
4096,128,16,lru,32,496471,19212,19180,0.962745,515683
4096,128,32,lru,32,504083,11600,11568,0.977506,515683
4096,256,1,lru,16,373508,142175,142159,0.724298,515683
4096,256,2,lru,16,444651,71032,71016,0.862256,515683
4096,256,4,lru,16,474784,40899,40883,0.92069,515683
4096,256,8,lru,16,489640,26043,26027,0.949498,515683
4096,256,16,lru,16,497897,17786,17770,0.96551,515683
4096,512,1,lru,8,405019,110664,110656,0.785403,515683
