cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
64,16,4,lru,4,221765,293918,293914,0.430041,515683
64,16,4,fifo,4,218601,297082,297078,0.423906,515683
4096,64,4,lru,64,390287,125396,125332,0.756835,515683
8192,64,4,lru,128,390055,125628,125500,0.756385,515683
16384,64,4,lru,256,388421,127262,127006,0.753217,515683
32768,64,4,lru,512,388421,127262,127006,0.753217,515683
4096,64,4,fifo,64,371062,144621,144557,0.719554,515683
8192,64,4,fifo,128,370919,144764,144636,0.719277,515683
16384,64,4,fifo,256,369356,146327,146071,0.716246,515683
32768,64,4,fifo,512,369356,146327,146071,0.716246,515683
164,16,4,lru,10,146031,369652,369644,0.28318,515683
164,16,4,fifo,10,142678,373005,372997,0.276678,515683
64,16,4,lru,4,221765,293918,293914,0.430041,515683
64,16,4,fifo,4,218601,297082,297078,0.423906,515683
64,16,1,lru,4,61752,453931,453927,0.119748,515683
64,16,1,fifo,4,61752,453931,453927,0.119748,515683
