cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
64,64,1,lru,1,253640,262043,262042,0.491853,515683
128,64,1,lru,2,309461,206222,206220,0.600099,515683
128,64,2,lru,2,313952,201731,201729,0.608808,515683
256,64,1,lru,4,364442,151241,151237,0.706717,515683
256,64,2,lru,4,371298,144385,144381,0.720012,515683
256,64,4,lru,4,371167,144516,144512,0.719758,515683
512,64,1,lru,8,405019,110664,110656,0.785403,515683
512,64,2,lru,8,427303,88380,88372,0.828616,515683
512,64,4,lru,8,436050,79633,79625,0.845578,515683
512,64,8,lru,8,438639,77044,77036,0.850598,515683
1024,64,1,lru,16,428856,86827,86811,0.831627,515683
1024,64,2,lru,16,459650,56033,56017,0.891342,515683
1024,64,4,lru,16,474784,40899,40883,0.92069,515683
1024,64,8,lru,16,477126,38557,38541,0.925231,515683
1024,64,16,lru,16,477538,38145,38129,0.92603,515683
2048,64,1,lru,32,458735,56948,56916,0.889568,515683
2048,64,2,lru,32,475423,40260,40228,0.921929,515683
2048,64,4,lru,32,491279,24404,24372,0.952676,515683
2048,64,8,lru,32,496464,19219,19187,0.962731,515683
2048,64,16,lru,32,496471,19212,19180,0.962745,515683
2048,64,32,lru,32,496463,19220,19188,0.962729,515683
4096,64,1,lru,64,488882,26801,26737,0.948028,515683
4096,64,2,lru,64,499139,16544,16480,0.967918,515683
4096,64,4,lru,64,501926,13757,13693,0.973323,515683
4096,64,8,lru,64,506287,9396,9332,0.98178,515683
4096,64,16,lru,64,506712,8971,8907,0.982604,515683
4096,64,32,lru,64,507038,8645,8581,0.983236,515683
4096,64,64,lru,64,507131,8552,8488,0.983416,515683
8192,64,1,lru,128,496982,18701,18573,0.963735,515683
8192,64,2,lru,128,507401,8282,8154,0.98394,515683
8192,64,4,lru,128,509502,6181,6053,0.988014,515683
8192,64,8,lru,128,509980,5703,5575,0.988941,515683
8192,64,16,lru,128,510133,5550,5422,0.989238,515683
8192,64,32,lru,128,510297,5386,5258,0.989556,515683
8192,64,64,lru,128,510387,5296,5168,0.98973,515683
8192,64,128,lru,128,510373,5310,5182,0.989703,515683
16384,64,1,lru,256,506361,9322,9066,0.981923,515683
16384,64,2,lru,256,510125,5558,5302,0.989222,515683
16384,64,4,lru,256,510978,4705,4449,0.990876,515683
16384,64,8,lru,256,511178,4505,4249,0.991264,515683
16384,64,16,lru,256,511215,4468,4212,0.991336,515683
16384,64,32,lru,256,511216,4467,4211,0.991338,515683
16384,64,64,lru,256,511238,4445,4189,0.99138,515683
16384,64,128,lru,256,511248,4435,4179,0.9914,515683
16384,64,256,lru,256,511250,4433,4177,0.991404,515683
32768,64,1,lru,512,509077,6606,6094,0.98719,515683
32768,64,2,lru,512,511354,4329,3817,0.991605,515683
32768,64,4,lru,512,511653,4030,3518,0.992185,515683
32768,64,8,lru,512,511733,3950,3438,0.99234,515683
32768,64,16,lru,512,511774,3909,3397,0.99242,515683
32768,64,32,lru,512,511791,3892,3380,0.992453,515683
32768,64,64,lru,512,511793,3890,3378,0.992457,515683
32768,64,128,lru,512,511813,3870,3358,0.992495,515683
32768,64,256,lru,512,511814,3869,3357,0.992497,515683
32768,64,512,lru,512,511807,3876,3364,0.992484,515683
65536,64,1,lru,1024,510614,5069,4045,0.99017,515683
65536,64,2,lru,1024,511914,3769,2745,0.992691,515683
65536,64,4,lru,1024,512011,3672,2648,0.992879,515683
65536,64,8,lru,1024,512041,3642,2618,0.992938,515683
65536,64,16,lru,1024,512052,3631,2607,0.992959,515683
65536,64,32,lru,1024,512055,3628,2604,0.992965,515683
65536,64,64,lru,1024,512062,3621,2597,0.992978,515683
65536,64,128,lru,1024,512065,3618,2594,0.992984,515683
65536,64,256,lru,1024,512063,3620,2596,0.99298,515683
65536,64,512,lru,1024,512066,3617,2593,0.992986,515683
65536,64,1024,lru,1024,512067,3616,2592,0.992988,515683
131072,64,1,lru,2048,511304,4379,2508,0.991508,515683
131072,64,2,lru,2048,512116,3567,1589,0.993083,515683
