cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
128,128,1,lru,1,284790,230893,230892,0.552258,515683
256,128,1,lru,2,333911,181772,181770,0.647512,515683
256,128,2,lru,2,342168,173515,173513,0.663524,515683
512,128,1,lru,4,374532,141151,141147,0.726283,515683
512,128,2,lru,4,397473,118210,118206,0.77077,515683
512,128,4,lru,4,399092,116591,116587,0.77391,515683
1024,128,1,lru,8,401138,114545,114537,0.777877,515683
1024,128,2,lru,8,444604,71079,71071,0.862165,515683
1024,128,4,lru,8,456549,59134,59126,0.885329,515683
1024,128,8,lru,8,460057,55626,55618,0.892131,515683
2048,128,1,lru,16,448134,67549,67533,0.869011,515683
2048,128,2,lru,16,464702,50981,50965,0.901139,515683
2048,128,4,lru,16,484610,31073,31057,0.939744,515683
2048,128,8,lru,16,489640,26043,26027,0.949498,515683
2048,128,16,lru,16,491940,23743,23727,0.953958,515683
4096,128,1,lru,32,479158,36525,36493,0.929172,515683
4096,128,2,lru,32,494237,21446,21414,0.958412,515683
4096,128,4,lru,32,497213,18470,18438,0.964183,515683
4096,128,8,lru,32,503028,12655,12623,0.97546,515683
4096,128,16,lru,32,503582,12101,12069,0.976534,515683
4096,128,32,lru,32,504083,11600,11568,0.977506,515683
8192,128,1,lru,64,489921,25762,25698,0.950043,515683
8192,128,2,lru,64,506210,9473,9409,0.98163,515683
8192,128,4,lru,64,509583,6100,6036,0.988171,515683
8192,128,8,lru,64,510557,5126,5062,0.99006,515683
8192,128,16,lru,64,510792,4891,4827,0.990515,515683
8192,128,32,lru,64,511210,4473,4409,0.991326,515683
8192,128,64,lru,64,511323,4360,4296,0.991545,515683
16384,128,1,lru,128,503950,11733,11605,0.977248,515683
16384,128,2,lru,128,510423,5260,5132,0.9898,515683
16384,128,4,lru,128,512006,3677,3549,0.99287,515683
16384,128,8,lru,128,512478,3205,3077,0.993785,515683
16384,128,16,lru,128,512504,3179,3051,0.993835,515683
