cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
16384,128,4,lru,128,442405,73278,73150,0.857901,515683
32768,128,4,lru,256,441560,74123,73867,0.856262,515683
65536,128,4,lru,512,439618,76065,75553,0.852497,515683
131072,128,4,lru,1024,439618,76065,75553,0.852497,515683
262144,128,4,lru,2048,439618,76065,75553,0.852497,515683
524288,128,4,lru,4096,439618,76065,75553,0.852497,515683
16384,128,4,fifo,128,433092,82591,82463,0.839842,515683
32768,128,4,fifo,256,432270,83413,83157,0.838248,515683
65536,128,4,fifo,512,430377,85306,84794,0.834577,515683
131072,128,4,fifo,1024,430377,85306,84794,0.834577,515683
262144,128,4,fifo,2048,430377,85306,84794,0.834577,515683
524288,128,4,fifo,4096,430377,85306,84794,0.834577,515683
65536,128,4,lru,512,439618,76065,75553,0.852497,515683
131072,128,4,lru,1024,439618,76065,75553,0.852497,515683
