cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
512,128,4,lru,4,399092,116591,116587,0.77391,515683
1024,128,4,lru,8,456549,59134,59126,0.885329,515683
2048,128,4,lru,16,484610,31073,31057,0.939744,515683
4096,128,4,lru,32,497213,18470,18438,0.964183,515683
8192,128,4,lru,64,509583,6100,6036,0.988171,515683
16384,128,4,lru,128,512006,3677,3549,0.99287,515683
32768,128,4,lru,256,513061,2622,2366,0.994915,515683
65536,128,4,lru,512,513451,2232,1720,0.995672,515683
131072,128,4,lru,1024,513611,2072,1050,0.995982,515683
262144,128,4,lru,2048,513707,1976,283,0.996168,515683
524288,128,4,lru,4096,513726,1957,70,0.996205,515683
1048576,128,4,lru,8192,513728,1955,51,0.996209,515683
2097152,128,4,lru,16384,513728,1955,45,0.996209,515683
4194304,128,4,lru,32768,513730,1953,39,0.996213,515683
8388608,128,4,lru,65536,513730,1953,35,0.996213,515683
