cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,num_requests
1024,4,1,lru,256,28549,487134,487130,515683
1024,4,2,lru,256,55331,460352,460344,515683
1024,4,4,lru,256,77765,437918,437902,515683
1024,4,8,lru,256,127244,388439,388407,515683
1024,4,16,lru,256,230703,284980,284916,515683
1024,4,32,lru,256,382822,132861,132733,515683
1024,4,64,lru,256,435220,80463,80207,515683
1024,4,128,lru,256,461528,54155,53899,515683
1024,4,256,lru,256,474908,40775,40519,515683
1024,8,1,lru,128,35206,480477,480469,515683
1024,8,2,lru,128,66519,449164,449148,515683
1024,8,4,lru,128,92341,423342,423310,515683
1024,8,8,lru,128,142313,373370,373306,515683
1024,8,16,lru,128,246202,269481,269353,515683
1024,8,32,lru,128,397850,117833,117705,515683
1024,8,64,lru,128,445589,70094,69966,515683
1024,8,128,lru,128,477379,38304,38176,515683
1024,16,1,lru,64,61817,453866,453850,515683
1024,16,2,lru,64,94130,421553,421521,515683
1024,16,4,lru,64,144303,371380,371316,515683
1024,16,8,lru,64,247616,268067,268003,515683
1024,16,16,lru,64,398387,117296,117232,515683
1024,16,32,lru,64,452732,62951,62887,515683
1024,16,64,lru,64,484090,31593,31529,515683
1024,32,1,lru,32,92775,422908,422876,515683
1024,32,2,lru,32,155710,359973,359941,515683
1024,32,4,lru,32,262543,253140,253108,515683
1024,32,8,lru,32,388579,127104,127072,515683
1024,32,16,lru,32,458129,57554,57522,515683
1024,32,32,lru,32,484165,31518,31486,515683
1024,64,1,lru,16,156418,359265,359249,515683
1024,64,2,lru,16,272530,243153,243137,515683
1024,64,4,lru,16,384847,130836,130820,515683
1024,64,8,lru,16,454307,61376,61360,515683
1024,64,16,lru,16,477538,38145,38129,515683
2048,4,1,lru,512,28549,487134,487130,515683
2048,4,2,lru,512,55331,460352,460344,515683
2048,4,4,lru,512,77765,437918,437902,515683
2048,4,8,lru,512,127244,388439,388407,515683
2048,4,16,lru,512,230703,284980,284916,515683
2048,4,32,lru,512,382822,132861,132733,515683
2048,4,64,lru,512,435220,80463,80207,515683
2048,4,128,lru,512,459598,56085,55573,515683
2048,4,256,lru,512,473932,41751,41239,515683
2048,8,1,lru,256,35206,480477,480469,515683
2048,8,2,lru,256,66519,449164,449148,515683
2048,8,4,lru,256,92341,423342,423310,515683
2048,8,8,lru,256,142313,373370,373306,515683
2048,8,16,lru,256,246202,269481,269353,515683
2048,8,32,lru,256,396117,119566,119310,515683
2048,8,64,lru,256,444820,70863,70607,515683
2048,8,128,lru,256,467828,47855,47599,515683
